Annotator/summarizer,Humans_abstr_110,Humans_abstr_112,Humans_abstr_113,Humans_abstr_114,Humans_abstr_115,Humans_duc_A,Humans_duc_B,Humans_duc_C,Humans_duc_D,Humans_duc_E,Humans_duc_F,Humans_duc_G,Humans_duc_H,Humans_movi_101,Humans_movi_102,Humans_movi_103,Humans_movi_104,Humans_movi_105,Humans_movi_110,Humans_movi_111,Humans_movi_112,Humans_movi_113,Humans_movi_114,Humans_movi_115,Machines_base_Centroid,Machines_base_FreqSum,Machines_base_GreedyKL,Machines_base_LexRank,Machines_base_TsSum,Machines_soa_CLASSY04,Machines_soa_CLASSY11,Machines_soa_DPP,Machines_soa_ICSISumm,Machines_soa_OCCAMS_V,Machines_soa_RegSum,Machines_soa_Submodular
Humans_movi_101,2.22E-6,4.97E-6,1.62E-5,6.82E-6,4.62E-7,1.52E-4,4.64E-1,7.43E-3,1.69E-3,3.70E-2,2.86E-1,4.69E-1,2.06E-3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_102,2.90E-7,6.38E-7,1.49E-6,7.18E-7,9.35E-8,4.88E-2,7.68E-2,2.74E-1,1.56E-1,3.91E-1,1.16E-1,7.44E-2,1.38E-1,5.70E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_103,9.13E-8,2.39E-7,7.24E-7,1.86E-7,2.49E-8,1.68E-2,1.45E-1,1.75E-1,7.09E-2,3.71E-1,2.45E-1,1.27E-1,6.08E-2,1.12E-1,3.95E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_104,2.89E-7,7.58E-7,1.86E-6,6.51E-7,7.09E-8,5.23E-3,1.54E-1,9.31E-2,3.16E-2,2.70E-1,2.94E-1,1.73E-1,3.12E-2,1.42E-1,2.70E-1,4.25E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_105,3.98E-7,1.07E-6,2.32E-6,1.07E-6,1.11E-7,7.33E-3,1.81E-1,8.91E-2,3.98E-2,3.36E-1,2.64E-1,1.75E-1,4.04E-2,1.42E-1,2.53E-1,3.99E-1,4.72E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_110,8.47E-9,2.12E-8,2.76E-8,1.60E-8,3.40E-9,4.57E-1,4.51E-4,1.93E-1,3.04E-1,1.19E-2,8.96E-4,9.08E-4,3.44E-1,4.50E-4,9.12E-2,3.48E-2,9.93E-3,1.11E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_111,3.99E-7,1.15E-6,2.91E-6,9.77E-7,9.45E-8,7.55E-4,2.94E-1,3.30E-2,9.50E-3,1.27E-1,4.68E-1,3.03E-1,8.96E-3,2.50E-1,1.43E-1,2.61E-1,3.29E-1,3.07E-1,2.00E-3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_112,2.11E-9,7.10E-9,2.27E-8,3.77E-9,5.93E-10,5.64E-2,5.50E-2,3.36E-1,1.51E-1,3.76E-1,9.38E-2,3.79E-2,1.22E-1,3.62E-2,4.14E-1,3.16E-1,2.38E-1,2.05E-1,8.61E-2,1.01E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_113,2.07E-8,5.10E-8,1.52E-7,3.81E-8,5.19E-9,2.99E-2,3.68E-2,2.87E-1,1.28E-1,4.21E-1,9.65E-2,4.68E-2,9.88E-2,3.64E-2,4.57E-1,3.16E-1,2.53E-1,2.28E-1,6.89E-2,1.18E-1,4.96E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_114,2.12E-8,5.25E-8,1.35E-7,4.33E-8,4.55E-9,3.77E-2,2.27E-2,2.67E-1,1.23E-1,3.87E-1,7.29E-2,3.68E-2,1.29E-1,3.18E-2,4.80E-1,2.80E-1,2.11E-1,2.28E-1,4.70E-2,1.02E-1,4.26E-1,4.80E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_115,5.76E-7,1.25E-6,4.76E-6,1.52E-6,1.45E-7,3.71E-3,3.97E-1,6.79E-2,2.03E-2,1.33E-1,4.64E-1,3.36E-1,1.77E-2,3.07E-1,2.30E-1,2.65E-1,3.06E-1,3.54E-1,1.47E-2,4.60E-1,1.26E-1,1.49E-1,1.11E-1,--,--,--,--,--,--,--,--,--,--,--,--,--
Machines_base_Centroid,1.94E-10,3.50E-10,3.25E-10,2.90E-10,1.11E-10,4.08E-4,3.26E-8,2.37E-5,1.69E-4,7.79E-7,7.74E-8,9.43E-8,2.00E-4,4.13E-8,1.29E-5,1.04E-5,1.41E-6,2.51E-6,2.07E-4,1.26E-7,1.30E-5,1.83E-6,1.26E-5,2.62E-6,--,--,--,--,--,--,--,--,--,--,--,--
Machines_base_FreqSum,2.86E-10,7.42E-10,6.91E-10,4.25E-10,1.44E-10,8.42E-2,1.68E-6,7.25E-3,2.15E-2,9.55E-5,3.92E-6,5.69E-6,3.31E-2,1.74E-6,2.69E-3,8.96E-4,1.26E-4,1.58E-4,5.11E-2,1.02E-5,2.93E-3,9.34E-4,1.03E-3,2.70E-4,5.39E-3,--,--,--,--,--,--,--,--,--,--,--
Machines_base_GreedyKL,1.50E-10,1.60E-10,1.86E-10,2.24E-10,1.17E-10,9.32E-8,6.47E-10,1.54E-8,1.44E-7,9.95E-10,6.62E-10,1.01E-9,1.42E-7,7.38E-10,1.92E-8,9.43E-8,3.97E-9,4.18E-9,2.14E-8,9.38E-10,1.14E-8,3.77E-9,3.38E-8,6.74E-8,8.17E-3,5.75E-7,--,--,--,--,--,--,--,--,--,--
Machines_base_LexRank,4.08E-10,8.09E-10,1.32E-9,6.00E-10,1.91E-10,4.39E-2,8.74E-6,3.99E-3,1.85E-2,2.64E-4,2.33E-5,1.46E-5,2.62E-2,8.62E-6,1.47E-3,1.09E-3,3.15E-4,2.34E-4,1.93E-2,3.63E-5,2.07E-3,8.04E-4,1.99E-3,3.51E-4,3.26E-2,2.43E-1,4.19E-5,--,--,--,--,--,--,--,--,--
