1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
system,no_sent,no_corefs,sent_sentim_0,sent_sentim_1,sent_sentim_2,sent_sentim_3,sent_sentim_4,tok_sentim_0,tok_sentim_1,tok_sentim_2,tok_sentim_3,tok_sentim_4,no_openie,NUMBER,PERSON,LOCATION,DATE,ORGANIZATION,MISC,DURATION,TIME,SET,ORDINAL,MONEY,PERCENT,named_entities,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``,0,,,'',:,,,$,-LRB-,-RRB-,-LCB-,-RCB-,Attribution[S][N],Background[N][S],Background[S][N],Cause[N][S],Cause[S][N],Comparison[N][N],Comparison[N][S],Condition[N][S],Condition[S][N],Contrast[N][N],Contrast[N][S],Contrast[S][N],Elaboration[N][S],Enablement[N][S],Enablement[S][N],Evaluation[N][S],Evaluation[S][N],Explanation[N][S],Joint[N][N],same-unit[N][N],Summary[N][S],Temporal[N][N],Temporal[N][S],Temporal[S][N],textual-organization[N][N]
d31008t.CLASSY04,3,2,1,2,0,0,0,0,7,118,5,0,18,1,7,4,7,3,1,2,1,0,0,0,0,26,3,2,11,0,0,11,9,0,0,0,0,17,2,16,1,0,0,3,1,4,0,0,1,0,3,0,2,12,3,9,0,0,1,3,0,1,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,4,0,0,0,0,0,0,17
d30048t.OCCAMS_V,5,2,0,4,0,1,0,0,1,110,2,0,66,0,0,2,2,4,2,4,0,0,0,3,0,17,2,2,15,0,0,15,11,1,0,0,2,20,6,7,0,0,1,0,0,5,0,0,0,0,0,0,3,2,3,3,0,3,1,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
d31033t.DPP,4,7,0,4,0,0,0,0,0,113,3,0,10,3,0,0,1,9,5,0,0,0,0,0,0,18,4,3,12,0,0,13,3,0,0,0,1,21,3,15,0,0,1,1,3,2,0,0,0,0,6,0,7,4,2,2,1,3,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,1,0,0,0,0,0,0,13
d30049t.DPP,5,4,0,3,1,1,0,0,0,115,4,0,37,0,3,13,1,0,2,0,0,0,0,0,0,19,3,0,13,0,0,12,10,0,0,0,2,13,8,18,2,0,0,2,1,1,0,0,1,0,7,0,6,5,2,3,1,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,12
d30027t.ICSISumm,4,2,0,3,0,1,0,0,1,99,5,0,2,0,4,1,2,2,4,2,0,0,0,0,0,15,1,0,13,0,0,11,5,0,1,0,4,13,6,14,2,0,2,1,1,3,0,0,0,0,5,0,6,2,5,1,0,2,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,11
d30047t.Submodular,4,4,0,4,0,0,0,0,1,115,2,0,31,0,0,2,4,6,6,2,0,0,1,0,0,21,3,2,14,0,0,9,8,0,0,0,0,19,6,15,0,0,1,0,1,1,1,0,1,0,8,0,6,4,2,3,1,2,2,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,8
d30044t.Submodular,5,2,0,4,0,1,0,0,2,115,1,0,30,0,6,7,6,8,6,0,0,0,0,0,0,33,1,0,13,0,0,14,11,0,0,0,1,20,2,19,2,0,1,1,0,2,0,0,0,0,3,0,3,5,2,4,0,2,1,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,7
d31013t.Submodular,4,4,1,2,0,1,0,0,0,121,2,0,21,0,5,1,0,1,0,0,0,0,0,0,0,7,5,0,11,0,0,12,6,0,0,0,0,17,15,8,0,0,0,4,0,1,0,0,0,0,4,0,1,1,5,6,3,8,2,1,0,0,1,4,7,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,2,0,0,0,0,0,0,15
d30007t.OCCAMS_V,6,4,0,5,1,0,0,0,4,107,3,0,10,2,4,6,0,2,3,1,0,0,0,0,0,18,3,2,10,0,0,10,11,0,0,0,0,15,13,11,1,0,4,0,1,1,0,0,0,0,2,0,1,3,4,2,4,1,0,1,0,0,0,6,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,10
d31022t.ICSISumm,5,1,0,4,1,0,0,0,3,106,5,0,52,5,0,1,1,5,1,0,0,0,0,0,0,13,5,4,9,0,0,13,8,0,2,0,0,14,16,7,0,0,1,1,0,3,0,0,0,0,1,0,0,9,3,4,0,0,0,0,0,1,1,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,10
d31022t.RegSum,6,3,0,4,1,1,0,0,2,127,5,0,67,2,2,3,2,2,4,0,0,0,1,0,0,16,4,2,18,0,0,11,17,0,1,0,0,26,8,8,1,0,1,0,0,2,0,0,0,0,2,0,2,10,3,4,0,0,0,0,1,1,0,6,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,2,1,0,0,0,0,0,0,16
d30020t.OCCAMS_V,6,4,0,4,1,1,0,0,2,103,4,0,25,3,0,6,5,0,4,0,0,0,0,0,0,18,0,3,13,0,0,13,9,1,0,0,1,10,13,11,2,0,2,1,2,1,0,0,0,0,2,0,2,2,4,3,1,3,0,0,0,0,1,6,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9
d30017t.Submodular,3,2,0,2,0,1,0,0,2,116,2,0,2,0,0,8,3,0,0,6,0,0,0,0,0,17,7,0,12,1,0,14,10,0,0,0,1,17,10,11,2,0,2,0,1,1,0,0,0,0,3,0,2,5,1,5,3,2,1,2,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,2,0,0,0,0,0,0,13
d30037t.CLASSY11,3,4,0,3,0,0,0,0,0,105,2,0,25,0,11,7,2,0,5,1,0,0,0,0,0,26,0,0,9,0,0,13,10,2,0,0,0,12,4,26,3,0,1,1,0,3,0,0,1,0,5,0,2,2,4,1,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,5
d30038t.RegSum,6,6,0,6,0,0,0,0,2,124,4,0,27,0,15,8,4,6,7,0,0,0,1,0,0,41,1,3,10,0,0,13,3,0,0,0,1,14,6,37,4,0,1,3,1,2,0,0,1,0,2,0,2,8,3,4,1,0,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,1,0,0,0,0,0,0,12
d31032t.DPP,5,6,0,5,0,0,0,0,6,112,1,0,15,0,10,4,4,2,1,3,0,0,1,0,0,25,3,1,9,0,0,9,9,0,0,0,2,16,5,23,0,0,1,1,5,2,0,0,1,0,5,0,5,5,1,3,0,4,1,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,11
d30011t.CLASSY04,5,3,0,4,0,1,0,0,2,108,3,0,23,1,9,1,3,0,3,2,0,0,0,0,0,19,2,3,7,0,0,14,12,0,0,0,2,15,5,19,0,0,2,1,2,4,0,0,0,0,2,0,4,3,1,5,1,2,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,2,0,0,0,0,0,0,13
d30042t.Submodular,4,7,0,4,0,0,0,0,5,116,0,0,17,4,7,5,4,7,4,0,0,0,0,0,0,31,1,6,11,0,0,14,3,0,0,0,1,16,6,22,0,0,0,1,0,3,0,0,0,0,6,0,4,6,4,4,2,2,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13
d31033t.OCCAMS_V,6,5,0,4,2,0,0,0,1,113,4,0,46,1,0,0,2,7,6,0,0,0,0,0,2,18,3,2,9,0,0,11,7,0,0,0,1,22,9,12,0,0,7,1,2,1,0,0,0,0,4,0,2,3,1,1,4,3,2,0,0,0,1,6,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,12
d31038t.Submodular,3,3,1,2,0,0,0,0,2,113,2,0,48,3,8,12,4,5,1,0,0,0,0,0,0,33,5,4,11,0,0,17,3,0,0,0,0,11,9,28,2,0,0,0,1,0,0,0,0,0,3,0,3,4,1,3,2,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,3,0,0,0,0,0,0,11
d30028t.Submodular,6,7,0,6,0,0,0,0,4,109,2,0,34,0,6,16,4,0,6,0,0,0,0,0,0,32,4,0,6,0,0,11,5,0,0,0,1,8,5,30,0,0,0,1,2,3,0,0,0,0,6,0,5,4,6,3,1,4,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,0,14
