Annotator/summarizer,Humans_abstr_110,Humans_abstr_112,Humans_abstr_113,Humans_abstr_114,Humans_abstr_115,Humans_duc_A,Humans_duc_B,Humans_duc_C,Humans_duc_D,Humans_duc_E,Humans_duc_F,Humans_duc_G,Humans_duc_H,Humans_movi_101,Humans_movi_102,Humans_movi_103,Humans_movi_104,Humans_movi_105,Humans_movi_110,Humans_movi_111,Humans_movi_112,Humans_movi_113,Humans_movi_114,Humans_movi_115,Machines_base_Centroid,Machines_base_FreqSum,Machines_base_GreedyKL,Machines_base_LexRank,Machines_base_TsSum,Machines_soa_CLASSY04,Machines_soa_CLASSY11,Machines_soa_DPP,Machines_soa_ICSISumm,Machines_soa_OCCAMS_V,Machines_soa_RegSum,Machines_soa_Submodular
Humans_movi_103,1.97E-4,3.59E-5,1.30E-4,9.16E-4,2.82E-5,4.40E-2,2.16E-1,8.03E-2,2.84E-3,5.07E-2,7.45E-2,3.29E-1,1.28E-2,1.76E-1,2.57E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_104,7.38E-6,1.20E-6,6.40E-6,1.06E-4,1.62E-6,2.08E-2,1.56E-1,3.80E-2,2.98E-4,1.51E-2,4.06E-2,2.74E-1,4.14E-3,1.29E-1,2.07E-1,4.92E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_105,5.90E-7,1.46E-7,5.16E-7,5.16E-6,1.74E-7,2.65E-1,3.66E-1,3.73E-1,2.55E-2,2.75E-1,3.51E-1,1.88E-1,8.86E-2,1.39E-2,3.84E-1,1.56E-1,7.56E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_110,4.30E-7,7.92E-8,3.94E-7,5.62E-6,1.12E-7,1.81E-1,4.73E-1,2.65E-1,1.17E-2,1.76E-1,2.62E-1,2.84E-1,5.56E-2,2.02E-2,4.65E-1,1.75E-1,1.32E-1,3.95E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_111,1.50E-4,2.03E-5,1.19E-4,1.54E-3,2.48E-5,4.80E-3,5.02E-2,8.53E-3,6.82E-5,3.00E-3,1.03E-2,7.49E-2,1.13E-3,3.37E-1,1.12E-1,3.17E-1,1.92E-1,1.98E-2,3.21E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_112,1.31E-5,2.62E-6,1.06E-5,1.06E-4,2.91E-6,1.05E-1,3.77E-1,1.66E-1,6.74E-3,1.24E-1,1.61E-1,4.15E-1,3.02E-2,6.36E-2,3.80E-1,2.97E-1,2.68E-1,2.95E-1,3.66E-1,1.14E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_113,5.67E-6,6.63E-7,5.37E-6,1.14E-4,1.17E-6,1.70E-2,1.27E-1,2.98E-2,2.55E-4,1.13E-2,3.18E-2,2.15E-1,3.43E-3,1.35E-1,2.02E-1,4.68E-1,4.22E-1,6.38E-2,1.04E-1,2.31E-1,2.45E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_114,2.98E-6,6.71E-7,2.29E-6,2.39E-5,6.54E-7,1.82E-1,4.65E-1,2.47E-1,1.43E-2,2.11E-1,2.72E-1,2.81E-1,6.76E-2,3.29E-2,4.33E-1,1.96E-1,1.49E-1,3.81E-1,4.88E-1,5.33E-2,3.40E-1,1.31E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_115,2.63E-5,4.41E-6,1.86E-5,1.59E-4,4.06E-6,1.05E-1,3.81E-1,1.61E-1,8.60E-3,1.24E-1,1.66E-1,4.80E-1,3.61E-2,7.63E-2,4.30E-1,3.10E-1,3.22E-1,2.78E-1,3.19E-1,1.59E-1,4.84E-1,3.32E-1,3.58E-1,--,--,--,--,--,--,--,--,--,--,--,--,--
Machines_base_Centroid,2.74E-7,9.42E-8,1.93E-7,8.62E-7,6.90E-8,8.46E-2,1.51E-2,5.70E-2,3.78E-1,4.47E-2,4.96E-2,3.22E-3,2.15E-1,5.07E-4,2.10E-2,5.24E-3,1.80E-3,2.72E-2,1.72E-2,9.88E-4,9.73E-3,2.16E-3,2.21E-2,1.43E-2,--,--,--,--,--,--,--,--,--,--,--,--
