Annotator/summarizer,Humans_abstr_110,Humans_abstr_112,Humans_abstr_113,Humans_abstr_114,Humans_abstr_115,Humans_duc_A,Humans_duc_B,Humans_duc_C,Humans_duc_D,Humans_duc_E,Humans_duc_F,Humans_duc_G,Humans_duc_H,Humans_movi_101,Humans_movi_102,Humans_movi_103,Humans_movi_104,Humans_movi_105,Humans_movi_110,Humans_movi_111,Humans_movi_112,Humans_movi_113,Humans_movi_114,Humans_movi_115,Machines_base_Centroid,Machines_base_FreqSum,Machines_base_GreedyKL,Machines_base_LexRank,Machines_base_TsSum,Machines_soa_CLASSY04,Machines_soa_CLASSY11,Machines_soa_DPP,Machines_soa_ICSISumm,Machines_soa_OCCAMS_V,Machines_soa_RegSum,Machines_soa_Submodular
Humans_movi_111,1.14E-1,8.94E-2,3.65E-3,4.33E-3,7.38E-4,3.24E-2,3.60E-1,9.01E-4,1.07E-1,1.43E-2,2.70E-1,4.96E-1,4.50E-1,3.01E-6,3.73E-6,1.24E-3,8.40E-5,2.89E-2,4.84E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_112,4.23E-1,4.42E-1,5.02E-2,8.07E-2,2.31E-2,3.05E-3,2.90E-1,1.03E-4,1.84E-2,1.29E-3,4.23E-1,1.83E-1,1.65E-1,1.42E-6,4.64E-7,9.73E-5,9.39E-6,4.71E-3,1.36E-1,1.38E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_113,4.06E-2,1.27E-2,4.27E-1,1.83E-1,3.85E-1,7.25E-6,4.94E-3,7.68E-7,1.15E-4,3.31E-6,1.73E-2,4.32E-3,1.86E-3,3.46E-7,9.75E-9,2.59E-7,8.09E-8,1.65E-5,1.41E-3,7.54E-4,2.00E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_114,1.22E-1,5.62E-2,3.49E-1,4.61E-1,4.23E-1,7.52E-5,1.66E-2,9.96E-6,5.47E-4,3.51E-5,3.60E-2,1.36E-2,7.97E-3,3.61E-7,5.63E-8,3.41E-6,5.24E-7,3.81E-4,7.36E-3,7.73E-3,7.38E-2,2.96E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_115,6.96E-4,7.12E-5,6.60E-2,1.01E-2,2.16E-2,4.84E-8,2.98E-5,3.15E-8,6.01E-7,2.97E-8,2.14E-4,7.01E-5,5.85E-6,1.48E-7,1.33E-9,5.55E-9,2.49E-9,2.81E-7,5.36E-6,3.75E-6,3.02E-4,6.95E-2,3.45E-2,--,--,--,--,--,--,--,--,--,--,--,--,--
Machines_base_Centroid,1.44E-6,2.21E-9,3.48E-7,4.35E-8,3.33E-8,6.86E-10,1.89E-9,1.25E-9,1.05E-9,6.90E-10,1.16E-8,3.40E-9,1.88E-9,1.57E-8,6.91E-10,6.86E-10,6.76E-10,1.24E-9,1.39E-9,1.26E-9,6.74E-9,9.02E-8,2.28E-8,9.75E-7,--,--,--,--,--,--,--,--,--,--,--,--
Machines_base_FreqSum,1.58E-6,4.41E-9,2.03E-7,1.34E-7,6.08E-8,1.12E-9,2.87E-9,9.91E-10,1.43E-9,9.94E-10,1.29E-8,2.73E-9,1.59E-9,1.76E-8,6.96E-10,8.24E-10,7.68E-10,1.58E-9,2.12E-9,2.03E-9,3.42E-9,1.55E-8,1.33E-8,2.12E-7,3.21E-1,--,--,--,--,--,--,--,--,--,--,--
Machines_base_GreedyKL,8.48E-7,1.55E-9,3.58E-8,2.87E-8,1.12E-8,6.88E-10,7.80E-10,6.90E-10,6.96E-10,6.92E-10,2.49E-9,8.84E-10,6.90E-10,1.40E-8,6.93E-10,6.88E-10,6.78E-10,8.67E-10,8.66E-10,7.36E-10,9.37E-10,1.77E-9,2.12E-9,1.56E-8,1.63E-1,3.00E-1,--,--,--,--,--,--,--,--,--,--
Machines_base_LexRank,1.13E-6,1.37E-9,6.35E-8,3.00E-8,1.24E-8,6.81E-10,9.82E-10,8.13E-10,6.90E-10,6.85E-10,5.56E-9,1.41E-9,8.13E-10,1.74E-8,6.86E-10,6.81E-10,6.71E-10,9.70E-10,9.70E-10,9.84E-10,2.01E-9,6.61E-9,4.24E-9,1.02E-7,3.38E-1,4.12E-1,1.99E-1,--,--,--,--,--,--,--,--,--
Machines_base_TsSum,1.30E-6,1.38E-9,3.56E-8,2.18E-8,1.39E-8,6.85E-10,9.30E-10,6.87E-10,6.94E-10,6.90E-10,4.16E-9,1.19E-9,6.87E-10,1.57E-8,6.90E-10,6.86E-10,6.75E-10,9.76E-10,9.76E-10,7.77E-10,1.33E-9,2.34E-9,3.01E-9,3.55E-8,2.36E-1,3.63E-1,1.16E-1,4.31E-1,--,--,--,--,--,--,--,--
Machines_soa_CLASSY04,8.30E-6,1.91E-6,5.65E-6,2.63E-7,3.21E-7,9.23E-3,4.68E-5,2.73E-1,2.77E-2,1.15E-2,8.70E-4,9.02E-5,3.24E-4,1.40E-1,4.50E-1,1.10E-1,1.10E-1,8.32E-3,1.10E-4,3.95E-5,5.85E-6,9.03E-8,6.76E-7,1.05E-8,6.80E-10,9.82E-10,6.81E-10,6.75E-10,6.79E-10,--,--,--,--,--,--,--
Machines_soa_CLASSY11,3.27E-8,2.55E-9,3.83E-7,1.63E-9,5.19E-9,7.30E-5,2.38E-7,2.40E-2,1.21E-3,8.74E-5,1.65E-5,5.29E-7,2.77E-6,4.92E-1,5.83E-2,4.45E-3,2.82E-3,5.84E-5,3.74E-7,6.20E-8,1.71E-8,1.73E-9,6.13E-9,8.13E-10,6.79E-10,6.84E-10,6.81E-10,6.74E-10,6.78E-10,8.32E-2,--,--,--,--,--,--
Machines_soa_DPP,1.73E-1,2.01E-1,9.81E-3,1.23E-2,1.88E-3,2.96E-2,3.38E-1,8.68E-4,9.32E-2,1.36E-2,2.35E-1,4.84E-1,3.93E-1,1.41E-5,1.18E-5,1.19E-3,2.69E-4,3.68E-2,4.23E-1,4.46E-1,2.04E-1,2.84E-3,1.40E-2,2.41E-5,5.95E-9,7.47E-9,2.38E-9,3.52E-9,1.77E-9,1.33E-4,3.40E-7,--,--,--,--,--
Machines_soa_ICSISumm,2.01E-8,2.87E-9,3.64E-7,1.76E-9,5.26E-9,7.09E-5,8.12E-8,3.29E-2,1.07E-3,4.28E-5,1.13E-5,2.88E-7,2.56E-6,4.61E-1,4.99E-2,3.43E-3,1.11E-3,3.31E-5,1.57E-7,3.65E-8,1.04E-8,1.82E-9,3.31E-9,8.17E-10,6.83E-10,6.88E-10,6.85E-10,6.78E-10,6.82E-10,1.15E-1,4.53E-1,2.77E-7,--,--,--,--
