system,no_sent,no_corefs,sent_sentim_0,sent_sentim_1,sent_sentim_2,sent_sentim_3,sent_sentim_4,tok_sentim_0,tok_sentim_1,tok_sentim_2,tok_sentim_3,tok_sentim_4,no_openie,NUMBER,PERSON,LOCATION,DATE,ORGANIZATION,MISC,DURATION,TIME,SET,ORDINAL,MONEY,PERCENT,named_entities,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,OPEN_QUOT,PERIOD,COMMA,CLOSING_QUOT,TWO_PTS,SEMICOLON,DOLLAR,POUND,-LRB-,-RRB-,-LCB-,-RCB-,Attribution[S][N],Background[N][S],Background[S][N],Cause[N][S],Cause[S][N],Comparison[N][N],Comparison[N][S],Condition[N][S],Condition[S][N],Contrast[N][N],Contrast[N][S],Contrast[S][N],Elaboration[N][S],Enablement[N][S],Enablement[S][N],Evaluation[N][S],Evaluation[S][N],Explanation[N][S],Joint[N][N],same-unit[N][N],Summary[N][S],Temporal[N][N],Temporal[N][S],Temporal[S][N],textual-organization[N][N],Topic-Change[N][N],TotalRST
14615533.Z,6,6,0,5,1,0,0,0,3,128,4,1,23,0,9,0,0,0,1,0,0,0,0,0,0,10,2,0,20,0,0,14,6,0,0,0,0,18,3,11,0,0,2,4,0,5,0,0,1,0,5,0,7,0,3,3,3,8,4,0,0,1,1,6,8,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,7,0,0,0,0,2,0,0,0,0,0,0,0,0,14
32883936.Z,6,4,0,3,2,1,0,0,2,118,0,1,19,0,13,1,1,0,0,0,0,0,0,0,0,15,5,0,14,0,0,11,6,0,0,0,0,21,3,17,0,0,2,0,2,2,0,0,1,0,3,0,2,0,1,2,1,8,0,2,0,0,0,6,8,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,12
30638543.Z,5,3,0,2,2,1,0,0,5,105,4,1,17,0,10,1,0,0,0,0,0,0,0,0,0,11,4,0,10,0,1,15,9,0,0,0,0,22,3,9,0,0,2,2,3,2,0,0,1,0,5,0,3,0,2,1,0,7,0,1,0,1,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,11
8710347.Z,4,6,0,4,0,0,0,0,3,110,2,2,39,1,7,5,2,0,0,0,0,0,0,0,0,15,5,1,12,0,0,10,5,0,0,0,0,23,5,15,0,0,1,2,0,4,0,0,2,0,4,0,3,0,0,3,3,5,0,1,0,1,0,4,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,12
31206425.Z,6,1,0,3,1,2,0,0,4,124,6,2,25,1,5,4,0,0,5,0,0,0,0,0,0,15,4,1,17,0,0,19,12,0,0,0,0,23,5,11,0,0,1,1,5,4,0,0,0,0,5,0,4,0,3,1,0,4,0,0,0,0,0,6,9,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4,3,0,0,0,1,1,0,0,0,0,0,0,0,13
12947954.Z,4,5,0,2,0,2,0,0,3,125,5,2,16,1,7,0,0,0,0,0,0,0,0,0,0,8,7,1,6,0,0,13,8,1,0,0,2,10,8,9,0,0,0,8,5,6,0,0,1,0,6,0,9,0,3,2,2,8,1,1,0,0,0,4,14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,3,0,0,0,0,0,0,18
6659784.Z,5,3,0,5,0,0,0,0,1,126,5,0,29,0,11,0,0,1,0,1,0,0,0,0,0,13,2,0,10,0,0,14,10,1,0,0,1,18,2,15,1,0,3,7,2,4,0,0,0,0,5,0,4,3,2,3,1,8,1,1,0,0,1,5,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,1,1,0,0,0,13
17129542.Z,9,3,0,5,3,1,0,0,4,105,7,2,29,1,9,0,2,14,0,0,0,0,0,0,0,26,0,2,7,0,0,10,6,0,0,0,0,16,1,21,0,0,0,6,4,7,1,0,1,0,0,0,1,1,5,2,1,11,0,1,0,0,0,8,5,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,14
6917971.Z,5,3,0,4,0,1,0,0,4,130,4,3,25,1,8,3,1,2,0,0,0,0,0,0,0,15,5,1,10,0,0,18,8,0,0,0,1,16,6,13,0,0,0,3,8,6,1,0,0,0,3,0,7,1,0,3,1,8,0,3,0,0,1,5,12,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,2,0,0,0,0,0,0,15
15220459.Z,4,3,0,4,0,0,0,0,2,119,1,0,25,0,4,2,1,0,1,0,0,0,0,0,0,8,7,0,13,0,0,14,2,0,0,0,0,21,3,8,0,0,0,4,4,4,0,0,0,0,5,0,3,2,2,5,2,8,1,2,0,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,2,2,0,0,0,0,0,0,0,13
