system,no_sent,no_corefs,sent_sentim_0,sent_sentim_1,sent_sentim_2,sent_sentim_3,sent_sentim_4,tok_sentim_0,tok_sentim_1,tok_sentim_2,tok_sentim_3,tok_sentim_4,no_openie,NUMBER,PERSON,LOCATION,DATE,ORGANIZATION,MISC,DURATION,TIME,SET,ORDINAL,MONEY,PERCENT,named_entities,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,OPEN_QUOT,PERIOD,COMMA,CLOSING_QUOT,TWO_PTS,SEMICOLON,DOLLAR,POUND,-LRB-,-RRB-,-LCB-,-RCB-,Attribution[S][N],Background[N][S],Background[S][N],Cause[N][S],Cause[S][N],Comparison[N][N],Comparison[N][S],Condition[N][S],Condition[S][N],Contrast[N][N],Contrast[N][S],Contrast[S][N],Elaboration[N][S],Enablement[N][S],Enablement[S][N],Evaluation[N][S],Evaluation[S][N],Explanation[N][S],Joint[N][N],same-unit[N][N],Summary[N][S],Temporal[N][N],Temporal[N][S],Temporal[S][N],textual-organization[N][N],Topic-Change[N][N],TotalRST
33935599_113.txt,7,2,0,5,1,1,0,0,0,116,8,0,22,0,4,0,0,0,0,0,0,0,0,0,0,4,6,0,8,0,0,9,4,2,0,0,1,13,2,4,0,0,0,12,9,13,0,0,0,0,5,0,7,0,1,4,0,15,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,2,0,0,0,0,0,0,0,13
27215149_106.txt,6,5,0,3,1,2,0,0,0,115,5,1,29,3,16,1,4,0,1,0,0,0,1,0,0,26,3,4,10,0,0,17,11,0,0,0,1,19,5,17,0,1,1,2,0,2,0,0,1,0,1,0,1,1,1,3,0,5,0,0,0,0,0,6,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11
10704002_107.txt,5,2,0,3,0,2,0,0,3,117,2,0,26,2,7,1,2,0,4,0,0,0,1,0,0,17,3,3,18,0,0,15,11,0,0,0,0,19,6,11,0,0,0,2,1,1,0,0,0,0,3,0,2,2,4,2,0,5,0,1,0,0,0,5,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,2,2,0,0,0,0,0,0,14
35575593_103.txt,4,3,0,4,0,0,0,1,4,101,1,1,21,0,6,0,2,0,1,0,0,0,0,0,0,9,5,0,13,1,0,12,6,0,1,0,0,23,5,8,0,0,0,2,3,1,0,0,1,0,1,0,1,1,1,4,2,5,1,0,0,1,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,11
11881116_112.txt,5,4,0,5,0,0,0,0,6,112,3,0,35,1,5,0,0,0,0,0,0,0,0,0,0,6,6,1,10,0,0,17,7,0,1,0,2,17,4,6,0,0,1,4,3,6,0,0,0,0,4,0,6,0,2,4,2,7,0,0,1,0,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,1,0,0,0,0,11
2291574_114.txt,6,2,0,3,1,2,0,0,5,119,2,1,31,1,6,2,0,0,1,0,0,0,0,0,0,10,3,1,10,0,0,14,12,0,0,0,0,28,4,8,0,0,1,3,5,7,0,0,0,0,4,0,2,0,2,2,0,8,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,9
24507227_118.txt,7,3,1,4,2,0,0,0,8,123,1,1,28,1,6,0,2,0,1,0,0,0,0,0,0,10,4,0,12,0,0,16,13,0,0,0,1,17,2,7,0,0,1,7,2,8,0,0,1,0,1,0,4,2,0,2,0,11,0,4,0,0,0,7,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,2,0,0,0,0,0,0,0,15
10227082_113.txt,8,3,0,3,3,2,0,0,2,121,5,0,41,0,5,5,3,0,0,2,0,2,0,0,0,17,4,1,17,0,0,13,4,0,0,0,1,22,1,11,0,0,1,2,2,6,0,0,0,0,4,0,4,1,2,5,0,12,0,0,0,0,1,8,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,3,0,0,0,0,0,0,0,13
19187200_111.txt,7,4,0,6,1,0,0,0,1,118,2,0,28,0,9,6,0,0,0,0,0,0,0,0,0,15,1,0,12,0,5,16,4,0,1,0,0,18,5,21,0,0,0,2,3,2,0,0,0,0,1,0,3,2,3,2,1,3,0,1,0,0,1,7,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,11
15402569_118.txt,4,5,0,4,0,0,0,0,3,123,7,4,28,0,17,0,3,0,0,4,0,0,0,0,0,24,7,2,10,0,0,11,6,0,2,0,1,17,7,17,0,0,3,3,2,3,0,0,2,0,3,0,3,3,1,4,1,6,0,1,1,0,2,4,9,2,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,2,0,0,0,0,0,0,12
