Annotator/summarizer,Humans_abstr_110,Humans_abstr_112,Humans_abstr_113,Humans_abstr_114,Humans_abstr_115,Humans_duc_A,Humans_duc_B,Humans_duc_C,Humans_duc_D,Humans_duc_E,Humans_duc_F,Humans_duc_G,Humans_duc_H,Humans_movi_101,Humans_movi_102,Humans_movi_103,Humans_movi_104,Humans_movi_105,Humans_movi_110,Humans_movi_111,Humans_movi_112,Humans_movi_113,Humans_movi_114,Humans_movi_115,Machines_base_Centroid,Machines_base_FreqSum,Machines_base_GreedyKL,Machines_base_LexRank,Machines_base_TsSum,Machines_soa_CLASSY04,Machines_soa_CLASSY11,Machines_soa_DPP,Machines_soa_ICSISumm,Machines_soa_OCCAMS_V,Machines_soa_RegSum,Machines_soa_Submodular
Humans_movi_105,4.70E-5,5.44E-7,4.05E-6,4.50E-7,1.11E-6,1.09E-5,6.93E-4,1.92E-2,4.95E-4,2.10E-2,1.29E-3,8.80E-3,2.98E-3,1.23E-2,2.83E-1,1.99E-1,4.27E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_110,4.70E-6,4.63E-8,3.93E-7,1.94E-8,4.25E-8,1.60E-6,9.49E-5,3.96E-3,1.23E-4,1.05E-2,1.49E-4,2.87E-3,5.08E-4,2.45E-3,2.45E-1,1.51E-1,4.46E-1,4.57E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_111,1.39E-4,1.73E-6,1.44E-5,7.35E-7,5.10E-6,2.70E-8,2.14E-6,6.19E-5,2.28E-6,1.38E-4,5.78E-6,1.97E-5,6.44E-6,2.51E-1,2.07E-1,3.20E-1,3.52E-2,6.47E-2,3.37E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_112,1.36E-5,1.73E-7,1.10E-6,1.41E-7,2.53E-7,1.83E-5,1.47E-3,3.85E-2,1.04E-3,3.83E-2,2.34E-3,1.40E-2,4.62E-3,9.30E-3,2.07E-1,1.28E-1,5.00E-1,4.50E-1,4.96E-1,4.09E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_113,3.10E-5,3.96E-7,3.06E-6,2.19E-7,4.08E-7,1.87E-6,1.01E-4,4.30E-3,2.08E-4,9.72E-3,1.77E-4,1.56E-3,2.50E-4,1.38E-2,3.41E-1,2.24E-1,3.67E-1,3.78E-1,4.46E-1,7.77E-2,3.63E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_114,9.08E-6,9.19E-8,9.41E-7,5.69E-8,1.34E-7,3.70E-6,6.01E-4,2.42E-2,3.83E-4,1.81E-2,1.50E-3,8.15E-3,2.72E-3,8.95E-3,1.94E-1,1.28E-1,4.50E-1,4.92E-1,4.96E-1,3.92E-2,4.77E-1,4.38E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_115,1.90E-5,1.14E-7,1.67E-6,1.82E-7,2.40E-7,8.81E-6,2.55E-3,8.52E-2,1.57E-3,9.79E-2,4.07E-3,2.42E-2,9.31E-3,2.06E-3,1.20E-1,9.65E-2,3.31E-1,3.03E-1,2.51E-1,1.67E-2,4.08E-1,1.83E-1,3.59E-1,--,--,--,--,--,--,--,--,--,--,--,--,--
Machines_base_Centroid,7.51E-8,9.42E-10,3.12E-9,3.65E-9,9.84E-10,6.97E-3,5.48E-4,1.18E-6,8.52E-4,2.54E-6,5.87E-4,1.08E-5,3.04E-4,2.67E-9,3.96E-8,4.91E-8,2.84E-7,2.57E-7,1.01E-7,6.05E-9,3.51E-7,8.24E-8,1.12E-7,1.91E-7,--,--,--,--,--,--,--,--,--,--,--,--
Machines_base_FreqSum,3.53E-8,7.37E-10,1.15E-9,1.80E-9,7.71E-10,9.59E-6,4.95E-6,3.94E-8,2.29E-6,3.69E-8,3.42E-6,1.62E-7,4.12E-6,1.17E-9,4.29E-9,4.53E-9,1.11E-8,1.65E-8,7.45E-9,1.80E-9,1.12E-8,4.47E-9,6.26E-9,7.58E-9,6.24E-2,--,--,--,--,--,--,--,--,--,--,--
Machines_base_GreedyKL,3.53E-8,6.54E-10,1.15E-9,2.02E-9,6.83E-10,8.44E-6,2.17E-6,4.50E-9,1.24E-6,1.04E-8,1.28E-6,5.40E-8,2.18E-6,6.85E-10,1.79E-9,1.79E-9,5.65E-9,6.74E-9,2.99E-9,6.92E-10,5.37E-9,2.66E-9,1.76E-9,1.88E-9,6.86E-2,4.27E-1,--,--,--,--,--,--,--,--,--,--
